,company_permalink,company_name,company_category_list,company_market,company_country_code,company_state_code,company_region,company_city,acquirer_permalink,acquirer_name,acquirer_category_list,acquirer_market,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_at,acquired_month,acquired_quarter,acquired_year,price_amount,price_currency_code
2727,/organization/contrail-systems,Contrail Systems,|Software|,Software,USA,CA,SF Bay Area,Santa Clara,/organization/juniper-networks,Juniper Networks,|Communications Hardware|Technology|Security|,Communications Hardware,USA,CA,SF Bay Area,Sunnyvale,2012-12-13,2012-12,2012-Q4,2012.0,176000000,USD
2741,/organization/conversant,Conversant,|Business Services|Brand Marketing|Digital Media|,Brand Marketing,USA,CA,Los Angeles,Westlake Village,/organization/alliance-data-systems,Alliance Data Systems,|Business Services|,Business Services,USA,TX,Dallas,Plano,2014-09-11,2014-09,2014-Q3,2014.0,2300000000,USD
2742,/organization/conversational-computing,Conversational Computing,|Software|,Software,USA,WA,Seattle,Redmond,/organization/here-enterprises,Here Enterprises,|Software|,Software,CAN,AB,Coquitlam,Coquitlam,2008-08-01,2008-08,2008-Q3,2008.0,4200000,USD
2743,/organization/converse,Converse,|Fashion|,Fashion,USA,MA,Boston,Andover,/organization/nike,Nike,|Sporting Goods|Fashion|,Sporting Goods,USA,OR,"Portland, Oregon",Beaverton,2003-01-01,2003-01,2003-Q1,2003.0,309000000,USD
2747,/organization/convertro,Convertro,|Optimization|Advertising|,Optimization,USA,CA,Los Angeles,Santa Monica,/organization/aol,AOL,|Advertising Platforms|Content Creators|Digital Media|News|,Content Creators,USA,NY,New York City,New York,2014-05-06,2014-05,2014-Q2,2014.0,101000000,USD
2753,/organization/cooltouch,CoolTouch (New Star Lasers),|Hardware + Software|,Hardware + Software,USA,CA,Sacramento,Roseville,/organization/syneron-medical,Syneron Medical,|Biotechnology|,Biotechnology,USA,CA,Anaheim,Irvine,2014-02-20,2014-02,2014-Q1,2014.0,11000000,USD
2757,/organization/copan-systems,Copan Systems,|Analytics|,Analytics,USA,CO,Denver,Longmont,/organization/sgi,SGI,|Hardware + Software|,Hardware + Software,USA,CA,SF Bay Area,Fremont,2010-02-23,2010-02,2010-Q1,2010.0,2000000,USD
2758,/organization/copano-energy,Copano Energy,|Gas|Clean Energy|,Gas,USA,TX,Houston,Houston,/organization/kinder-morgan,Kinder Morgan Energy,|Natural Gas Uses|Clean Technology|,Natural Gas Uses,USA,TX,Houston,Houston,2013-01-01,2013-01,2013-Q1,2013.0,5,USD
2771,/organization/coram-specialty-infusion,Coram Specialty Infusion,|Health Care|,Health Care,USA,CO,Denver,Denver,/organization/cvs-caremark,CVS Caremark,|Biotechnology|,Biotechnology,USA,RI,Providence,Woonsocket,2013-11-27,2013-11,2013-Q4,2013.0,2100000000,USD
2774,/organization/cordillera-energy-partners,Cordillera Energy Partners,|Product Development Services|Oil|,Oil,USA,ME,ME - Other,Northern Washington Co,/organization/apache-corp,Apache Corp,|Gas|Oil|,Gas,USA,TX,Houston,Houston,2012-01-23,2012-01,2012-Q1,2012.0,2850000000,USD
2776,/organization/core-mobility,Core Mobility,|Software|,Software,USA,CA,SF Bay Area,Mountain View,/organization/smith-micro-software,Smith Micro Software,|Software|,Software,USA,CA,Anaheim,Aliso Viejo,2009-09-10,2009-09,2009-Q3,2009.0,20230000,USD
2781,/organization/corematrix-systems,CoreMatrix Systems,|Consulting|,Consulting,USA,NJ,Newark,Red Bank,/organization/perficient,Perficient,|Internet|Information Technology|Consulting|,Internet,USA,TX,Austin,Austin,2013-10-14,2013-10,2013-Q4,2013.0,21500000,USD
2788,/organization/corestreet,CoreStreet,|Software|,Software,USA,MA,Boston,Cambridge,/organization/actividentity,ActivIdentity,|Enterprise Software|,Enterprise Software,USA,CA,SF Bay Area,Fremont,2009-12-15,2009-12,2009-Q4,2009.0,20000000,USD
2791,/organization/corexchange,CoreXchange,|Web Hosting|,Web Hosting,USA,TX,Dallas,Dallas,/organization/zcolo,zColo,|Data Centers|,Data Centers,USA,OH,Akron - Canton,Louisville,2014-03-09,2014-03,2014-Q1,2014.0,17000000,USD
2800,/organization/cornerstone-records-management,Cornerstone Records Management,|Software|,Software,USA,MD,Baltimore,Elkridge,/organization/iron-mountain,Iron Mountain,|Security|,Security,USA,MA,Boston,Boston,2013-10-18,2013-10,2013-Q4,2013.0,191000000,USD
2814,/organization/cortina-systems,Cortina Systems,|Hardware|Software|Semiconductors|Hardware + Software|,Hardware,USA,CA,SF Bay Area,Sunnyvale,/organization/inphi,INPHI,|Semiconductors|,Semiconductors,USA,CA,SF Bay Area,Santa Clara,2014-10-06,2014-10,2014-Q4,2014.0,131000000,USD
2816,/organization/corventis,Corventis,|Health Care Information Technology|Health Care|Health and Wellness|Medical Devices|,Health Care,USA,CA,SF Bay Area,San Jose,/organization/medtronic,Medtronic,|Medical Devices|Biotechnology|,Medical Devices,USA,MN,Minneapolis,Minneapolis,2014-05-20,2014-05,2014-Q2,2014.0,150000000,USD
2825,/organization/cotendo,Cotendo,|Content Delivery|Software|,Software,USA,CA,SF Bay Area,Sunnyvale,/organization/akamai-technologies,Akamai Technologies,|SaaS|IaaS|Digital Media|Video Streaming|Data Security|Content Delivery|Cloud Computing|Business Services|Enterprise Software|,Business Services,USA,MA,Boston,Cambridge,2011-11-27,2011-11,2011-Q4,2011.0,268000000,USD
2828,/organization/cottrell,Cottrell,|Manufacturing|,Manufacturing,USA,GA,"Athens, Georgia",Gainesville,/organization/markel-corporation,Markel Corporation,|Insurance|Insurance Companies|,Insurance,USA,VA,Richmond,Glen Allen,2014-08-07,2014-08,2014-Q3,2014.0,130000000,USD
2838,/organization/covad-communications,Covad Communications,|Public Relations|,Public Relations,USA,CA,SF Bay Area,San Jose,/organization/platinum-equity-llc,Platinum Equity,|Public Relations|Impact Investing|All Markets|Business Services|,All Markets,USA,CA,Los Angeles,Beverly Hills,2007-10-31,2007-10,2007-Q4,2007.0,417000000,USD
2841,/organization/covance,Covance,|Dietary Supplements|Health and Wellness|Biotechnology|,Health and Wellness,USA,NJ,Newark,Princeton,/organization/labcorp,LabCorp,|Biotechnology|,Biotechnology,USA,NC,Greensboro,Burlington,2014-11-03,2014-11,2014-Q4,2014.0,5600000000,USD
2851,/organization/coverity,Coverity,|Open Source|Enterprise Software|,Open Source,USA,CA,SF Bay Area,San Francisco,/organization/synopsys,Synopsys,|Design|Semiconductors|Software|,Software,USA,CA,SF Bay Area,Mountain View,2014-02-19,2014-02,2014-Q1,2014.0,375000000,USD
