,company_permalink,company_name,company_category_list,company_market,company_country_code,company_state_code,company_region,company_city,acquirer_permalink,acquirer_name,acquirer_category_list,acquirer_market,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_at,acquired_month,acquired_quarter,acquired_year,price_amount,price_currency_code
395,/organization/cue,Cue,|Curated Web|,Curated Web,USA,CA,SF Bay Area,San Francisco,/organization/apple,Apple,|Computers|Consumer Electronics|Hardware + Software|,Hardware + Software,USA,CA,SF Bay Area,Cupertino,10/4/13,2013-10,2013-Q4,2013,50000000,USD
1677,/organization/mybloglog,Yeye Aduhay,|Curated Web|,Curated Web,USA,FL,Orlando,Orlando,/organization/yahoo,Yahoo!,|Photography|Email|Portals|Search|Curated Web|,Service Provider,USA,CA,SF Bay Area,Sunnyvale,1/9/07,2007-01,2007-Q1,2007,10000000,USD
1426,/organization/sphere,Surphace,|Curated Web|,Curated Web,USA,NY,New York City,New York,/organization/aol,AOL,|Advertising Platforms|Content Creators|Digital Media|News|,Service Provider,USA,NY,New York City,New York,4/1/08,2008-04,2008-Q2,2008,25000000,USD
1156,/organization/postini,Postini,|Curated Web|,Curated Web,USA,CA,SF Bay Area,San Carlos,/organization/google,Google,|Software|Video Streaming|Information Technology|Blogging Platforms|Email|Search|,Service Provider,USA,CA,SF Bay Area,Mountain View,7/9/07,2007-07,2007-Q3,2007,625000000,USD
960,/organization/musicmatch,Musicmatch,|Curated Web|,Curated Web,USA,CA,SF Bay Area,Sunnyvale,/organization/yahoo,Yahoo!,|Photography|Email|Portals|Search|Curated Web|,Service Provider,USA,CA,SF Bay Area,Sunnyvale,9/1/04,2004-09,2004-Q3,2004,160000000,USD
531,/organization/feedburner,FeedBurner,|Curated Web|,Curated Web,USA,IL,Chicago,Chicago,/organization/google,Google,|Software|Video Streaming|Information Technology|Blogging Platforms|Email|Search|,Service Provider,USA,CA,SF Bay Area,Mountain View,6/1/07,2007-06,2007-Q2,2007,100000000,USD
450,/organization/docverse,DocVerse,|Curated Web|,Curated Web,USA,CA,SF Bay Area,San Francisco,/organization/google,Google,|Software|Video Streaming|Information Technology|Blogging Platforms|Email|Search|,Service Provider,USA,CA,SF Bay Area,Mountain View,12/5/09,2009-12,2009-Q4,2009,25000000,USD
305,/organization/channel-intelligence,Channel Intelligence,|Curated Web|,Curated Web,USA,FL,Orlando,Orlando,/organization/google,Google,|Software|Video Streaming|Information Technology|Blogging Platforms|Email|Search|,Service Provider,USA,CA,SF Bay Area,Mountain View,2/6/13,2013-02,2013-Q1,2013,125000000,USD
138,/organization/associatedcontent,Associated Content,|Curated Web|,Curated Web,USA,CO,Denver,Denver,/organization/yahoo,Yahoo!,|Photography|Email|Portals|Search|Curated Web|,Service Provider,USA,CA,SF Bay Area,Sunnyvale,5/18/10,2010-05,2010-Q2,2010,90000000,USD
42,/organization/adscape,Adscape,|Curated Web|,Curated Web,USA,CA,SF Bay Area,San Francisco,/organization/google,Google,|Software|Video Streaming|Information Technology|Blogging Platforms|Email|Search|,Service Provider,USA,CA,SF Bay Area,Mountain View,2/1/07,2007-02,2007-Q1,2007,23000000,USD
