,company_permalink,company_name,company_category_list,company_market,company_country_code,company_state_code,company_region,company_city,acquirer_permalink,acquirer_name,acquirer_category_list,acquirer_market,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_at,acquired_month,acquired_quarter,acquired_year,price_amount,price_currency_code,raised_amount_usd
208,/organization/jingle-networks,Jingle Networks,|Advertising|Mobile|,Advertising,USA,NY,New York City,New York,/organization/marchex,Marchex,|Enterprise Software|Business Services|Technology|Advertising|Mobile|,Enterprise Software,USA,WA,Seattle,Seattle,4/11/11,2011-04,2011-Q2,2011,62500000,USD,81500000
220,/organization/kontera,Kontera,|Analytics|Big Data|Advertising|,Advertising,USA,CA,SF Bay Area,San Francisco,/organization/amobee,Amobee,|Advertising|,Advertising,USA,CA,SF Bay Area,Redwood City,6/11/14,2014-06,2014-Q2,2014,150000000,USD,36140000
340,/organization/quattro-wireless,Quattro Wireless,|Advertising|,Advertising,USA,MA,Boston,Waltham,/organization/apple,Apple,|Computers|Consumer Electronics|Hardware + Software|,Hardware + Software,USA,CA,SF Bay Area,Cupertino,1/5/10,2010-01,2010-Q1,2010,275000000,USD,28300000
357,/organization/rhythm-newmedia,Rhythm NewMedia,|App Marketing|Mobile Video|Advertising|,Advertising,USA,CA,SF Bay Area,Mountain View,/organization/blinkx,blinkx,|Search|Games|,Games,USA,CA,SF Bay Area,San Francisco,12/3/13,2013-12,2013-Q4,2013,65000000,USD,23101322
358,/organization/right-media,Right Media,|Advertising|,Advertising,USA,NY,New York City,New York,/organization/yahoo,Yahoo!,|Photography|Email|Portals|Search|Curated Web|,Service Provider,USA,CA,SF Bay Area,Sunnyvale,4/1/07,2007-04,2007-Q2,2007,850000000,USD,45000000
366,/organization/scanscout,ScanScout,|Advertising|,Advertising,USA,MA,Boston,Boston,/organization/tremor-video,Tremor Video,|Advertising|,Advertising,USA,NY,New York City,New York,12/8/10,2010-12,2010-Q4,2010,86000000,USD,15500000
420,/organization/tacoda,Tacoda,|Advertising|,Advertising,USA,NY,New York City,New York,/organization/aol,AOL,|Advertising Platforms|Content Creators|Digital Media|News|,Service Provider,USA,NY,New York City,New York,7/24/07,2007-07,2007-Q3,2007,275000000,USD,7000000
283,/organization/social-iq-networks,Nexgate,|Fraud Detection|Brand Marketing|Social Media|Enterprise Software|,Advertising,USA,CA,SF Bay Area,Burlingame,/organization/proofpoint,Proofpoint,|Software|Technology|Enterprise Software|,Software,USA,CA,SF Bay Area,Sunnyvale,10/23/14,2014-10,2014-Q4,2014,35000000,USD,3500000
41,/organization/aster-data-systems,Aster Data Systems,|Databases|Analytics|,Software,USA,CA,SF Bay Area,San Carlos,/organization/teradata,Teradata,|Big Data|Consulting|,Big Data,USA,OH,Dayton,Miamisburg,3/3/11,2011-03,2011-Q1,2011,263000000,USD,52000000
387,/organization/siperian,Siperian,|Analytics|,Software,USA,CA,SF Bay Area,Foster City,/organization/informatica,Informatica,|Big Data Analytics|Mobile Devices|Cloud Computing|Data Integration|Software|,Mobile Devices,USA,CA,SF Bay Area,Redwood City,1/29/10,2010-01,2010-Q1,2010,130000000,USD,25000000
